sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 20:38:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +popToPushGray_buffercc:buffercc_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_dc13612a41d14b64a60c05045f64d9b7	1178(1007)	 144(144)	 142(103)	  991(904)	     0(0)	     7(0)	     0(0)	
       +bram_u2:bram_wrapper_fifo_dc13612a41d14b64a60c05045f64d9b7	     57(0)	     0(0)	    13(0)	     29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_dc13612a41d14b64a60c05045f64d9b7(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	     57(0)	     0(0)	    13(0)	     29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_dc13612a41d14b64a60c05045f64d9b7(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	      1(1)	     0(0)	     0(0)	      1(1)	     0(0)	     1(1)	     0(0)	
         +xefx_fifo_ctl:efx_fifo_ctl_dc13612a41d14b64a60c05045f64d9b7(SYNC_CLK=0,WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PIPELINE_REG=0,ALMOST_FLAG=0,PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    56(28)	     0(0)	   13(13)	    28(16)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.xrd2wr_addr_sync:efx_asyncreg_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7,ACTIVE_LOW=0,OFF_ASSERTION=1)	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(6)	     0(0)	     0(0)	     0(0)	
          +async_clk.wr2rd_addr_sync:efx_asyncreg_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7,ACTIVE_LOW=0,OFF_ASSERTION=1)	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +bram_u1:bram_wrapper_fifo_dc13612a41d14b64a60c05045f64d9b7	     57(0)	     0(0)	    13(0)	     29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_dc13612a41d14b64a60c05045f64d9b7(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	     57(0)	     0(0)	    13(0)	     29(0)	     0(0)	     1(0)	     0(0)	
